VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
3C3CFFGE4E,Yakima,Yakima,WA,98902,2014,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,14,1593721,POINT (-120.524012 46.5973939),PACIFICORP,53077000700
5YJXCBE40H,Thurston,Olympia,WA,98513,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,2,257167501,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067012331
3MW39FS03P,King,Renton,WA,98058,2023,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,11,224071816,POINT (-122.1298876 47.4451257),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025803
7PDSGABA8P,Snohomish,Bothell,WA,98012,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,260084653,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051927
5YJ3E1EB8L,King,Kent,WA,98031,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,33,253771913,POINT (-122.2012521 47.3931814),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029305
5UX43EU02R,Kitsap,Poulsbo,WA,98370,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,23,259427829,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940100
2C4RC1H7XJ,Kitsap,Port Orchard,WA,98367,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,26,477087012,POINT (-122.6847073 47.50524),PUGET SOUND ENERGY INC,53035092902
1G1FX6S01H,Kitsap,Poulsbo,WA,98370,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,23,214494213,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090502
5YJ3E1EA2J,Kitsap,Port Orchard,WA,98366,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,280785123,POINT (-122.639265 47.5373),PUGET SOUND ENERGY INC,53035092400
WBY7Z6C59J,King,Duvall,WA,98019,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,45,129133343,POINT (-121.9810747 47.7377962),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
7SAYGDEE9P,Thurston,Olympia,WA,98502,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,256162448,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067012002
KNDCE3LGXK,King,Bellevue,WA,98006,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,41,102023603,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800
5YJYGDEE1L,King,Seattle,WA,98112,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,43,110743468,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
3FA6P0SU9L,Kitsap,Bremerton,WA,98310,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23,230362380,POINT (-122.611365 47.575195),PUGET SOUND ENERGY INC,53035080300
WBY1Z2C53G,King,Seattle,WA,98119,2016,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,36,219061027,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005902
5UX43EU02R,King,Seattle,WA,98105,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,46,256410164,POINT (-122.319115 47.66132),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004101
JTDKARFP7H,Kitsap,Poulsbo,WA,98370,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,348856014,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940100
5YJXCBE26G,Yakima,Selah,WA,98942,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,15,122670621,POINT (-120.54188 46.654175),PACIFICORP,53077003100
5YJ3E1EB0L,King,Seattle,WA,98119,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,36,151540385,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007102
1G1RA6S51J,Kitsap,Poulsbo,WA,98370,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,154300961,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035091100
1N4AZ0CP0D,Kitsap,Poulsbo,WA,98370,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,231813487,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090502
7FCTGAAL7N,Kitsap,Silverdale,WA,98383,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,221467284,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091206
5YJ3E1EAXK,King,Seattle,WA,98144,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37,477438538,POINT (-122.30823 47.581975),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000
1G1FY6S0XL,Snohomish,Brier,WA,98036,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,1,145615970,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051913
WBY8P6C04L,Kitsap,Bainbridge Island,WA,98110,2020,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,23,132150504,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091002
5YJYGDEE8L,Snohomish,Bothell,WA,98021,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,110047598,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051938
KNAGV4LD5J,Thurston,Lacey,WA,98503,2018,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,22,165098895,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011300
5YJ3E1EA5L,Yakima,Yakima,WA,98902,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,14,102765120,POINT (-120.524012 46.5973939),PACIFICORP,53077000301
5YJ3E1EB5J,King,Seattle,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46,474007481,POINT (-122.3185 47.67949),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5UXTA6C04N,Thurston,Olympia,WA,98501,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,22,216634071,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067010300
5YJSA1E23H,Yakima,Yakima,WA,98901,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,15,255647577,POINT (-120.500225 46.6043),PACIFICORP,53077001601
5YJSA1E22K,Snohomish,Bothell,WA,98012,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,21,145860116,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061051927
7SAYGDEE7N,Yakima,Yakima,WA,98902,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,185725480,POINT (-120.524012 46.5973939),PACIFICORP,53077000301
WBY7Z8C55J,Thurston,Tumwater,WA,98512,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,22,190643316,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011000
1G1RA6E48D,Snohomish,Edmonds,WA,98026,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,21,213526673,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050102
JA4T5VA98P,Yakima,Yakima,WA,98908,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,249745730,POINT (-120.6027202 46.5965625),PACIFICORP,53077000904
WBY1Z4C54G,Snohomish,Lake Stevens,WA,98258,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,44,139826151,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052604
5YJ3E1EA7K,Yakima,Tieton,WA,98947,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,476682475,POINT (-120.75692 46.70383),PACIFICORP,53077002900
1G1RE6E47E,Snohomish,Bothell,WA,98021,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,1,232778409,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051918
JHMZC5F30J,Snohomish,Everett,WA,98204,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,21,132616291,POINT (-122.240535 47.91139),PUGET SOUND ENERGY INC,53061041812
1N4AZ1CP9L,Thurston,Lacey,WA,98503,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,22,229380322,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011200
WA1E2AFY0M,Thurston,Olympia,WA,98502,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,35,141822551,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011902
1C4JJXR64N,Yakima,Naches,WA,98937,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,14,209500252,POINT (-120.69918 46.7305),PACIFICORP,53077003004
1G1FX6S01K,Island,Oak Harbor,WA,98277,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,475249806,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029971000
1N4AZ1CP3J,Kitsap,Poulsbo,WA,98370,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,23,168437370,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940000
5YJYGDEEXL,Snohomish,Marysville,WA,98270,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,38,123386574,POINT (-122.17673 48.05542),PUGET SOUND ENERGY INC,53061052809
1N4AZ0CP9F,King,Shoreline,WA,98133,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,32,263970794,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020900
1C4JJXP67M,Grant,Ephrata,WA,98823,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,13,166335011,POINT (-119.55513 47.31936),PUD NO 2 OF GRANT COUNTY,53025010402
5UXKT0C52G,Thurston,Olympia,WA,98501,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,35,246050626,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011720
3C3CFFGEXF,Thurston,Yelm,WA,98597,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,2,145792188,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012422
5YJSA1E22G,King,Seattle,WA,98116,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,34,6813131,POINT (-122.38679 47.56484),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009701
1N4AZ0CP0D,Thurston,Olympia,WA,98512,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,35,253501132,POINT (-122.9131017 47.0135926),PUGET SOUND ENERGY INC,53067011810
5YJYGDEE1L,Kitsap,Poulsbo,WA,98370,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,23,260199180,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035090201
YV4H60CE6R,Kitsap,Bainbridge Island,WA,98110,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,245691435,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035090700
5YJSA1E24G,Snohomish,Snohomish,WA,98290,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,39,107414310,POINT (-122.091505 47.915555),PUGET SOUND ENERGY INC,53061052203
1G1FY6S07K,Skagit,Burlington,WA,98233,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,476245458,POINT (-122.33079 48.474765),PUGET SOUND ENERGY INC,53057951900
5YJ3E1EA7J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,256847594,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061042005
5YJ3E1EA9K,King,Seattle,WA,98119,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,36,179764595,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007101
5YJ3E1EB8J,Thurston,Olympia,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,22,213472598,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011721
1G1RD6E45F,Kitsap,Bremerton,WA,98312,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,35,151601180,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600
1N4AZ0CP7G,King,Seattle,WA,98122,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,114317024,POINT (-122.30839 47.610365),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
JN1AZ0CP6C,Snohomish,Snohomish,WA,98296,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,1,184587301,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052112
5YJ3E1EA8J,Snohomish,Edmonds,WA,98026,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,129526386,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050102
5YJXCAE24G,Kittitas,Cle Elum,WA,98922,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,13,200881586,POINT (-120.938305 47.195355),PUGET SOUND ENERGY INC,53037975104
WA1F2AFY8N,Yakima,Yakima,WA,98908,2022,AUDI,Q5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,14,202295537,POINT (-120.6027202 46.5965625),PACIFICORP,53077002801
1N4BZ1CP7K,Yakima,Tieton,WA,98947,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,14,8518268,POINT (-120.75692 46.70383),PACIFICORP,53077002900
1C4JJXR60M,Snohomish,Lake Stevens,WA,98258,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,44,156563550,POINT (-122.112265 48.0047),PUGET SOUND ENERGY INC,53061052607
5YJSA1H14E,Kittitas,Ronald,WA,98940,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,13,117341703,POINT (-121.0551802 47.2555714),PUGET SOUND ENERGY INC,53037975101
5UXKT0C58J,Spokane,Spokane,WA,99204,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,3,104929513,POINT (-117.43167 47.64724),MODERN ELECTRIC WATER COMPANY,53063004100
3FA6P0PU2H,Snohomish,Everett,WA,98208,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,44,4385,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061052121
5YJ3E1EB9J,Stevens,Evans,WA,99126,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,7,474586927,POINT (-117.9557577 48.6879951),AVISTA CORP,53065950101
1N4AZ1CP5J,Snohomish,Monroe,WA,98272,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,39,254586097,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052204
JN1AZ0CP1C,Skagit,Anacortes,WA,98221,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,40,226599985,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940201
WBY8P6C54K,Snohomish,Everett,WA,98208,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,44,327041921,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041605
5YJ3E1EB4J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,342615738,POINT (-122.179458 47.802589),PUGET SOUND ENERGY INC,53061051926
1FADP5CU2F,Snohomish,Lynnwood,WA,98036,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,32,114902350,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051500
1N4AZ0CP4F,King,Vashon,WA,98070,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34,3734580,POINT (-122.46049 47.44873),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027702
1C4RJYB62N,Kitsap,Bremerton,WA,98312,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,35,228722287,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035091400
1G1FX6S05H,Skagit,Mount Vernon,WA,98273,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,115207123,POINT (-122.338975 48.41333),PUGET SOUND ENERGY INC,53057952100
5YJ3E1EA4J,Snohomish,Lynnwood,WA,98036,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,32,195537905,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051701
JTDKARFP3K,Walla Walla,Walla Walla,WA,99362,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,16,218044851,POINT (-118.34332 46.063985),PACIFICORP,53071920200
5YJSA1V26F,Snohomish,Monroe,WA,98272,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,39,282629063,POINT (-121.972215 47.85674),PUGET SOUND ENERGY INC,53061052203
1C4JJXN61P,Walla Walla,Walla Walla,WA,99362,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,16,231011280,POINT (-118.34332 46.063985),PACIFICORP,53071920902
5YJ3E1EB8J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,111499111,POINT (-122.03646 47.534065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032002
5UXTA6C0XN,Snohomish,Edmonds,WA,98020,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,32,202055745,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050700
5YJXCDE24L,Snohomish,Everett,WA,98208,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,21,128631331,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041606
5UXTA6C06P,Skagit,Anacortes,WA,98221,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,40,236512027,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940700
1N4AZ1CP1J,Snohomish,Lynnwood,WA,98036,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,32,123306284,POINT (-122.316675 47.819365),PUGET SOUND ENERGY INC,53061051929
5YJ3E1EB0K,Whitman,Pullman,WA,99163,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,9,226160903,POINT (-117.17912 46.730885),AVISTA CORP,53075000602
5YJ3E1EA9J,Yakima,Yakima,WA,98908,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,259192566,POINT (-120.6027202 46.5965625),PACIFICORP,53077000402
JN1AZ0CP3B,Yakima,Yakima,WA,98908,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,14,347738905,POINT (-120.6027202 46.5965625),PACIFICORP,53077002804
5UXTA6C08M,Yakima,Yakima,WA,98901,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,15,144618841,POINT (-120.500225 46.6043),PACIFICORP,53077001602
WBY2Z2C53F,Thurston,Yelm,WA,98597,2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,2,154666788,POINT (-122.61023 46.94126),PUGET SOUND ENERGY INC,53067012421
1G1RC6S56H,Yakima,Yakima,WA,98908,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,14,108867573,POINT (-120.6027202 46.5965625),PACIFICORP,53077000902
1N4AZ0CP9D,Snohomish,Everett,WA,98203,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,38,184223273,POINT (-122.213105 47.95479),PUGET SOUND ENERGY INC,53061041201
5YJXCBE29J,Skagit,La Conner,WA,98257,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,111526327,POINT (-122.5135345 48.3829111),PUGET SOUND ENERGY INC,53057952100
1G1RC6S50J,Skagit,Burlington,WA,98233,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,40,192335440,POINT (-122.33079 48.474765),PUGET SOUND ENERGY INC,53057951600
1C4JJXR65M,Yakima,Selah,WA,98942,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,15,183340601,POINT (-120.54188 46.654175),PACIFICORP,53077003100
